Matrikel,Nachname,Vorname,Email,Studiengang,Abschluss,Regelstudienzeit,Imma,Exma,Semester
3235012,Braune,Angela,ab67xoaa@studserv.uni-leipzig.de,Bioinformatik,Master of Science,4,2014,2016,4
3586735,Heintz,Moritz,mh93ozkd@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,7
3505393,Fuerst,Nancy,nf17qhbl@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,8
3872457,Enders,Helmut,he83swnr@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
2605501,Koeppl,Jochen,jk61jeuj@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
3117865,Droste,Georg,gd0blig@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2016,NA,6
2437173,Jacobs,Johannes,jj56evae@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2016,NA,6
3412240,Schaefer,Herbert,hs34aerf@studserv.uni-leipzig.de,Informatik,Master of Science,4,2014,2016,4
3463005,Huhn,Rainer,rh43dbrv@studserv.uni-leipzig.de,Informatik,Master of Science,4,2014,2016,4
2966322,Lindner,Klaus,kl41sjiz@studserv.uni-leipzig.de,Informatik,Master of Science,4,2015,2017,4
3685487,Reichart,Christina,cr97zbwq@studserv.uni-leipzig.de,Informatik,Master of Science,4,2015,2018,6
3324518,John,Elisabeth,ej46dtfe@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,8
3076570,Hoffmann,Viktor,vh65anhv@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
3454077,Oldenburg,Irene,io32dmzw@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2014,NA,10
3130637,Burghardt,Willi,wb40mwhn@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,7
2892549,Wolff,Andreas,aw14klgy@studserv.uni-leipzig.de,Informatik,Master of Science,4,2014,2016,4
3680113,Henze,Leonhard,lh25wtez@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,8
2776856,Moser,Rainer,rm60fzuq@studserv.uni-leipzig.de,Wirtschaftsinformatik,Master of Science,4,2014,2016,4
3867811,Hansen,Tatjana,th33pkpk@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2017,6
3899411,Temme,Wieland,wt48ebgn@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2018,7
3392138,Weichert,Erika,ew57jpnt@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2018,8
2757371,Scheidt,Berthold,bs65uzhi@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2017,6
3161504,Vetter,Renate,rv40bwur@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2015,2018,6
2473641,Roedel,Caroline,cr45nphm@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
2905144,Fechner,Marko,mf44imqt@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2015,2018,6
2586804,Wiegand,Margarete,mw78rgij@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,7
2843267,Hofmann,Manfred,mh78vfuu@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
2730205,Ritter,Ingo,ir32htcq@studserv.uni-leipzig.de,Informatik,Master of Science,4,2014,2016,4
3599762,Walter,Alfred,aw10qoop@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
3714685,Neubauer,Felix,fn44hhgx@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
3514431,Wirtz,Margot,mw32zwrx@studserv.uni-leipzig.de,Informatik,Master of Science,4,2014,2016,4
3503118,Majewski,Thorsten,tm54nltp@studserv.uni-leipzig.de,Informatik,Master of Science,4,2014,2016,4
3478878,Schreiner,Bernd,bs53owhv@studserv.uni-leipzig.de,Informatik,Master of Science,4,2015,2017,4
2602743,Wolf,Karlheinz,kw71pwjw@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,8
3869176,Brandt,Peter,pb4lubk@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2018,7
3069997,Keller,Erwin,ek36tsqq@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2015,NA,8
3448296,Engelhardt,Christine,ce33dzmn@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2014,NA,10
3408777,Seibert,Irene,is98annv@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2016,NA,6
3525505,Riedel,Josef,jr70ewkn@studserv.uni-leipzig.de,Bioinformatik,Master of Science,4,2015,2017,4
3795904,Hofmann,Bernhard,bh5bbjb@studserv.uni-leipzig.de,Bioinformatik,Master of Science,4,2014,2016,4
3438844,Krause,Franz,fk65dhwj@studserv.uni-leipzig.de,Bioinformatik,Master of Science,4,2015,2018,5
3200672,Adams,Hans-Joerg,ha36ynjv@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2015,2018,6
3642072,Czech,Erika,ec21paxs@studserv.uni-leipzig.de,Bioinformatik,Master of Science,4,2014,2016,4
3828938,Gerlach,Paul,pg57dslb@studserv.uni-leipzig.de,Bioinformatik,Master of Science,4,2015,2017,4
2627020,Albers,Klaus,ka40zwcx@studserv.uni-leipzig.de,Bioinformatik,Master of Science,4,2016,2018,4
3859652,Hoppe,Ines,ih96vrll@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
3221360,Hofmann,Jens,jh58jsun@studserv.uni-leipzig.de,Wirtschaftsinformatik,Master of Science,4,2014,2016,4
3443794,Pelz,Franz,fp36bbzm@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2017,6
2358738,Simon,Isolde,is24lyzk@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
2990589,Denker,Stefan,sd84noph@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2016,NA,6
3752996,Wagner,Gregor,gw71qlyw@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
2466075,Kress,Heinz-Werner,hk45ldbk@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
3542883,Weyers,Frida,fw62yahh@studserv.uni-leipzig.de,Wirtschaftsinformatik,Master of Science,4,2014,2016,4
3907982,Marquardt,Ulrike,um26fcas@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2015,2018,6
3891733,Grundmann,Magdalena,mg20pnyq@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,7
2832324,Beer,Stefan,sb97jges@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
2378305,Bucher,Sonja,sb43ijhu@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
